zipcode,major_city,radius_in_miles,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
78228,San Antonio,2.0,58811,5379.0,20497,18890,85700.0,34992.0
89115,Las Vegas,4.0,58794,2351.0,21384,17496,80100.0,33496.0
92880,Corona,5.0,58763,2380.0,16355,15528,376500.0,100452.0
75150,Mesquite,3.0,58730,4608.0,23905,21997,105800.0,45999.0
92115,San Diego,2.0,58560,9003.0,22754,21251,365800.0,41866.0
20011,Washington,2.0,58536,12002.0,25082,23035,376900.0,54488.0
10473,Bronx,2.0,58519,26846.0,21323,20571,386600.0,35866.0
95111,San Jose,2.0,58466,10840.0,15511,15035,334300.0,57120.0
98052,Redmond,5.0,58442,2908.0,25674,24008,465200.0,99192.0
43123,Grove City,9.0,58424,982.0,23657,22333,150500.0,60863.0
93309,Bakersfield,3.0,58409,5487.0,23542,21654,158300.0,47593.0
00727,Caguas,7.0,58382,2709.0,23679,21244,,
91977,Spring Valley,3.0,58368,6039.0,19167,18190,296400.0,59849.0
95355,Modesto,2.0,58311,6145.0,22505,20939,195400.0,55049.0
92404,San Bernardino,13.0,58271,2040.0,19384,17369,154400.0,37175.0
97229,Portland,6.0,58217,2831.0,23226,21741,405300.0,100063.0
00680,Mayaguez,32.0,58140,906.0,27992,23484,,
60411,Chicago Heights,5.0,58136,1832.0,21400,18935,111400.0,41537.0
75043,Garland,4.0,58094,3999.0,22920,21137,120900.0,55149.0
87120,Albuquerque,10.0,58023,1510.0,23716,22480,189900.0,62544.0
92507,Riverside,5.0,58002,2870.0,19834,17992,232800.0,39465.0
90034,Los Angeles,2.0,57964,18621.0,27210,25592,637100.0,56946.0
02155,Medford,3.0,57964,7072.0,24032,22798,387000.0,73567.0
32828,Orlando,5.0,57881,2709.0,22113,20057,205600.0,62054.0
95828,Sacramento,3.0,57862,4698.0,18515,17168,154100.0,46820.0
45601,Chillicothe,18.0,57842,169.0,23416,21126,114700.0,42526.0
92020,El Cajon,3.0,57767,5188.0,20894,19966,380200.0,46856.0
30906,Augusta,10.0,57748,684.0,23181,20764,82100.0,34265.0
92780,Tustin,3.0,57741,8258.0,19516,18508,456900.0,64680.0
87105,Albuquerque,10.0,57680,614.0,20949,19562,131400.0,36883.0
33027,Hollywood,2.0,57663,4296.0,23211,21028,220600.0,61464.0
22191,Woodbridge,5.0,57598,3643.0,20329,18901,247200.0,79198.0
74012,Broken Arrow,4.0,57526,2323.0,22205,21115,149800.0,63005.0
