zipcode,population,radius_in_miles,population_density,percent_occupied_units,median_home_value,median_household_income,kmeans_labels
60805,19852,1.0,5827.0,0.9514486043127398,197300.0,65393.0,1
14830,19850,11.0,221.0,0.9298034934497816,98300.0,51902.0,0
6518,19848,4.0,1211.0,0.9504353650368386,265200.0,74230.0,1
29706,19847,16.0,73.0,0.8778825400431671,84200.0,30879.0,0
94703,19846,2.0,14852.0,0.9222644697929869,592600.0,55554.0,1
44055,19846,3.0,2990.0,0.8670819132683042,77800.0,30792.0,0
7095,19844,2.0,4812.0,0.9546820230345519,283900.0,80235.0,1
97058,19838,23.0,57.0,0.9236013164080865,182600.0,43435.0,0
45224,19837,3.0,3086.0,0.9036057443950821,116100.0,44235.0,0
77037,19819,2.0,3179.0,0.927730483608042,84200.0,35518.0,0
34202,19816,5.0,834.0,0.846195830149547,323200.0,89756.0,1
92586,19815,2.0,2806.0,0.9045873284451965,139100.0,35935.0,0
17837,19815,7.0,318.0,0.9249325954306797,170800.0,48878.0,0
33547,19813,10.0,138.0,0.9208622471578326,237500.0,93838.0,1
95818,19811,2.0,5158.0,0.9237898057773835,408500.0,57500.0,1
1945,19808,4.0,4516.0,0.9214754469336954,565200.0,98399.0,1
28120,19807,6.0,651.0,0.9226717740004788,147700.0,50327.0,0
14526,19804,4.0,1184.0,0.9643716899374097,169000.0,77386.0,1
70714,19803,6.0,575.0,0.9340846546979426,125500.0,44439.0,0
11747,19803,3.0,1505.0,0.9590915128171071,619300.0,112699.0,1
36207,19801,9.0,268.0,0.8946862996158771,131600.0,44176.0,0
92274,19801,25.0,111.0,0.8237458193979933,43000.0,27305.0,0
20169,19801,6.0,614.0,0.9638304180254966,467600.0,139508.0,1
73008,19800,2.0,2540.0,0.883005883005883,108300.0,41882.0,0
18976,19795,3.0,1827.0,0.9659043659043659,370200.0,89817.0,1
34234,19788,2.0,2978.0,0.8164805312405674,99800.0,30479.0,0
38863,19788,14.0,70.0,0.8970229380185456,87600.0,41305.0,0
91390,19786,11.0,138.0,0.9446751705725304,472500.0,106190.0,1
10552,19786,1.0,11940.0,0.9326953412556526,381800.0,64001.0,1
28739,19786,8.0,295.0,0.8044448411281685,224500.0,51163.0,0
83338,19782,23.0,72.0,0.9337767086458186,137500.0,40131.0,0
76208,19782,6.0,730.0,0.9184882802212273,171100.0,70890.0,0
70582,19781,19.0,138.0,0.9124078470573534,93100.0,37292.0,0
60194,19777,4.0,5463.0,0.9358187824445493,224000.0,73261.0,1
14214,19775,2.0,6922.0,0.8765040472544301,117900.0,38698.0,0
13901,19773,7.0,852.0,0.9083118224057821,108700.0,41344.0,0
82070,19766,36.0,18.0,0.8828661795179409,210400.0,49121.0,0
33541,19759,5.0,802.0,0.7067349350137849,71200.0,39377.0,0
76009,19759,9.0,201.0,0.8952277950520481,85800.0,51696.0,0
33440,19743,20.0,30.0,0.8409600421996571,82300.0,35964.0,0
95949,19741,11.0,141.0,0.9160886104273886,343000.0,62224.0,1
6840,19738,5.0,889.0,0.928353860415839,1000001.0,161848.0,1
7751,19736,5.0,1223.0,0.9740424184868629,533100.0,138025.0,1
33971,19730,4.0,1172.0,0.7648384673178061,87600.0,48445.0,0
98383,19727,5.0,1098.0,0.916054203031695,297500.0,60635.0,1
79118,19726,10.0,116.0,0.920682862770847,139500.0,62323.0,0
28787,19718,8.0,248.0,0.9013616738625041,194700.0,50230.0,0
5452,19710,6.0,475.0,0.9680214817527157,268800.0,76074.0,1
6067,19709,4.0,1465.0,0.9393870858306005,269500.0,77560.0,1
32536,19709,15.0,423.0,0.8512521840419336,176100.0,56720.0,0
84720,19705,30.0,63.0,0.8439112487100103,184700.0,43427.0,0
92865,19704,1.0,5384.0,0.9523952545427241,441200.0,85057.0,1
48114,19702,6.0,597.0,0.9453467388502191,212100.0,83661.0,1
26201,19701,11.0,110.0,0.8953234516833276,102500.0,41432.0,0
67530,19699,15.0,80.0,0.9062715368711234,81400.0,43352.0,0
40203,19694,2.0,6696.0,0.8328491011439986,84600.0,15535.0,0
78703,19690,2.0,3529.0,0.9042685851318945,641200.0,80569.0,1
35205,19686,2.0,5429.0,0.8111506328066838,143700.0,32131.0,0
